P,F1,F2,N1,N2,S1,S2,A1,A2
0,196,383,1226,1639,974,1168,476,702
3,662,845,908,1854,2118,2303,2387,2732
4,631,815,1041,1731,1937,2119,2181,2745
6,808,986,1060,1576,1754,1937,1974,2474
7,445,627,800,1352,1631,1817,1865,2129
9,820,1003,1876,2415,1645,1826,1051,1473
10,737,925,968,1640,1810,1993,2137,2655
11,721,916,982,1705,2049,2232,2259,2576
12,598,780,816,1566,1770,1960,2451,2934
13,610,799,1628,2370,1403,1587,854,1248
14,671,852,937,1480,1639,1830,1882,2280
16,576,759,1669,2188,1427,1621,861,1216
17,714,900,1043,1948,2028,2200,2400,2756
20,547,729,772,1419,1603,1778,1818,2450
20,547,729,772,1419,1603,1788,1818,2450
21,509,692,747,1136,1264,1457,1499,1784
22,617,800,1809,2765,1598,1785,888,1406
24,1410,1596,1696,2370,2458,2645,2669,2948
25,998,1185,1266,1854,2074,2267,2324,2629
26,1085,1269,1303,1794,1915,2071,2100,2394
27,700,890,987,1471,1694,1879,1916,2149
28,885,1068,2379,3189,2145,2340,1126,1771
29,887,1072,1314,2173,2448,2640,2700,2977
30,1094,1308,2587,2989,2328,2533,1364,2023
32,969,1128,1344,1998,2227,2412,2440,2808
34,1225,1409,1460,2377,2620,2809,2870,3177
